gene,WD_t1_KO_VS_WD_t1_DKO_FC
Timp2,-1.28284583022137
Gpx4,0.99582009770455
1810011H11Rik,-1.9362559208282502
Prex1,-1.12636312310834
Cxcr5,2.7216481010441296
Hck,-1.23022090337315
Cerk,-1.53077766078071
Igkv10-96,5.040382379282231
Ptgs2,-3.01310482522815
Tmem56,1.5840578645150398
Fam195a,1.23612931422319
Tpd52,-1.59469388561521
Kank3,1.3404736138758702
Pla2g15,-1.4172860733270702
Itga5,-1.4391765867851498
Cd300c2,-2.96150657855014
Mamdc2,-2.99796084067254
Gnpda1,-0.8946116605346751
Efhd2,-1.37296430427243
Gpr182,1.4836390205310401
Akr1a1,-0.8666102200673459
Emp3,-1.7235417798602302
Vwa3a,1.3061223230552501
Shb,0.945003268046955
Gadd45a,-2.63563569912992
Rnf128,-4.250761872977931
Rcn1,-0.8251282277762109
AB124611,-2.0236514772008602
Gjb4,-3.7639646271039804
Cthrc1,-2.80467628287849
Rab27b,-1.33971516391968
Bex1,-4.81223897984901
Lacc1,-1.24928132562227
Slc25a13,-2.3178988778902503
Lrrc25,-1.98235806460463
Cd300a,-2.08259360201033
Zmynd15,-1.48769556588662
Myo1e,-2.0193472637357
Arpc2,-0.7828451081550271
Cd163,1.1358572395639
Mrc2,-1.14249067450894
Ngf,-2.08175323223696
Egln1,0.9132150700110891
A530064D06Rik,-2.47158585900668
Atf3,-2.43110699728026
Wisp1,-2.49926399834864
Pkib,-2.02455628714185
Cxcl1,-2.7806574055269904
Cd68,-3.1610242547956697
Fgl1,-2.7347398322420196
Casp4,-1.2346764332697902
Gldn,1.7034760023652
Sh3bgrl3,-1.09141427000525
Rab31,-1.81315778928726
Ndufb9,0.922425584684264
Ptpn1,-1.2866833713038701
Tnc,-2.56654985299438
Col12a1,-2.07716808707154
Cd9,-1.63686691109687
Slc1a4,-1.50029414320292
Emp1,-1.73914696346321
Cd53,-2.16318347325686
Gns,-0.831562252826086
Ly86,-1.58332914367987
Clec7a,-3.67308838373306
Gm5617,1.2991390182378402
Lyz2,-2.7077855233663
Itih4,-1.7703487206852
Igsf6,-1.79791213400453
Mapk6,-0.774298510003538
Slc35f6,-1.15987686347222
Selp,-1.84639879271538
S100a6,-0.9169561962482409
Ssc5d,-0.8913739639773659
Dusp28,1.03195725393472
B4galt6,-1.66929215328172
Uap1l1,-1.85556467667256
